resource_type,grade_level,poverty_level,school_state,date_posted,total_donations
Technology,Grades PreK-2,high poverty,NC,2013-06-22,1.0
Supplies,Grades 9-12,highest poverty,IL,2009-11-30,25.0
Supplies,Grades PreK-2,highest poverty,OH,2011-06-19,5.0
Technology,Grades 3-5,highest poverty,SC,2007-07-23,50.0
Supplies,Grades 6-8,highest poverty,PA,2012-03-10,55.0
Supplies,Grades PreK-2,highest poverty,FL,2011-01-17,15.0
Technology,Grades 6-8,high poverty,NC,2010-11-11,5.0
Supplies,Grades PreK-2,highest poverty,CA,2012-09-04,143.49
Supplies,Grades 3-5,highest poverty,OK,2011-09-11,20.0
Supplies,Grades 3-5,highest poverty,TN,2013-01-24,50.0
Technology,Grades 9-12,highest poverty,CA,2012-09-03,50.0
Supplies,Grades 3-5,low poverty,CA,2012-03-21,10.0
Technology,Grades 3-5,high poverty,CO,2013-12-04,10.0
Technology,Grades 3-5,highest poverty,WI,2007-12-21,100.0
Technology,Grades 6-8,high poverty,OR,2010-11-03,15.0
Books,Grades 6-8,highest poverty,CO,2009-02-05,25.0
Supplies,Grades 3-5,highest poverty,IL,2012-08-10,20.0
Books,Grades PreK-2,high poverty,SC,2006-02-27,301.14
Technology,Grades PreK-2,high poverty,MI,2011-01-31,20.0
Books,Grades 9-12,high poverty,CT,2009-04-27,94.12
Supplies,Grades 3-5,highest poverty,IN,2011-01-05,503.85
Supplies,Grades 6-8,highest poverty,CA,2012-01-12,375.2
Supplies,Grades PreK-2,highest poverty,IL,2007-09-05,100.0
Supplies,Grades 3-5,highest poverty,FL,2010-10-12,3.0
Supplies,Grades 9-12,highest poverty,IL,2009-08-13,25.0
Technology,Grades PreK-2,moderate poverty,AL,2012-11-06,10.0
Technology,Grades 3-5,highest poverty,FL,2013-09-03,100.0
Books,Grades PreK-2,high poverty,TX,2013-03-07,100.0
Supplies,Grades 3-5,moderate poverty,FL,2013-09-26,35.0
Books,Grades PreK-2,highest poverty,CA,2010-12-05,15.0
Books,Grades 6-8,highest poverty,CA,2013-08-02,25.0
Books,Grades 3-5,moderate poverty,NV,2011-11-20,96.0
Books,Grades 9-12,high poverty,AZ,2013-10-28,25.0
Supplies,Grades 3-5,highest poverty,SC,2011-06-26,15.0
Supplies,Grades 3-5,highest poverty,TX,2013-02-14,8.75
Supplies,Grades 3-5,highest poverty,NC,2011-08-15,25.0
Supplies,Grades PreK-2,high poverty,MN,2011-10-09,5.0
Technology,Grades 9-12,highest poverty,PA,2013-12-08,25.87
Technology,Grades 9-12,low poverty,CA,2011-07-28,10.0
Technology,Grades 6-8,highest poverty,CA,2011-01-17,25.0
Technology,Grades 6-8,high poverty,AZ,2011-06-06,100.0
Other,Grades 6-8,high poverty,MA,2009-08-26,100.0
Supplies,Grades 3-5,highest poverty,IN,2013-12-01,50.0
Supplies,Grades 3-5,highest poverty,NC,2012-07-28,25.0
Supplies,Grades PreK-2,moderate poverty,PA,2013-08-14,2.0
Technology,Grades PreK-2,highest poverty,VA,2011-01-08,25.0
Books,Grades 9-12,highest poverty,DC,2008-09-12,150.0
Technology,Grades 9-12,highest poverty,CA,2005-04-04,425.0
Technology,Grades PreK-2,highest poverty,ID,2013-11-05,4.0
Technology,Grades 6-8,highest poverty,DC,2010-04-18,20.0
Technology,Grades PreK-2,highest poverty,PA,2013-11-05,100.0
Technology,Grades 6-8,highest poverty,PA,2012-11-06,25.0
Supplies,Grades 9-12,highest poverty,GA,2010-09-29,597.07
Technology,Grades 3-5,highest poverty,TX,2010-10-09,50.0
Books,Grades 3-5,high poverty,UT,2013-09-12,20.0
Supplies,Grades PreK-2,highest poverty,MD,2010-02-03,25.0
Trips,Grades 6-8,highest poverty,CA,2013-12-09,25.0
